created_at,favorite_count,full_text,user
Tue May 07 16:02:39 +0000 2024,0,Fucking hell I feel old,its_jtb
Tue May 07 15:10:16 +0000 2024,0,"Respectfully SQA, what was that textual analysis???",its_jtb
Tue May 07 15:09:48 +0000 2024,2,Advacned English exam done and dusted https://t.co/mH8Kyznv9U,its_jtb
Tue May 07 07:40:33 +0000 2024,1,Advanced higher english today https://t.co/b4TYeKdYDf,its_jtb
Mon May 06 21:30:00 +0000 2024,1,Brother said https://t.co/mcjECTPkFD,its_jtb
Mon May 06 21:02:22 +0000 2024,0,https://t.co/zOpiQrQVgW,its_jtb
Mon May 06 20:32:46 +0000 2024,1,holy shit what a player https://t.co/mTxBzgJL5C,its_jtb
Mon May 06 20:27:40 +0000 2024,0,"fuck it, they are winning the league you're in trouble @MwepuMagic",its_jtb
Mon May 06 19:43:11 +0000 2024,0,I still firmly believe this,its_jtb
Mon May 06 18:06:02 +0000 2024,1,No one tell this man about the blue lagoon,its_jtb
Mon May 06 16:48:24 +0000 2024,2,Ayr or Ardrossan and its not close,its_jtb
Mon May 06 15:39:16 +0000 2024,1,"American sports needs to bin off its chants. No more ""Defence du du du Defence"" and more "" your sister is you mother, your father is your brother, you all shag one another, the Indiana family""",its_jtb
Mon May 06 14:15:06 +0000 2024,0,That might be the worst like to quote ratio ever Holy shit,its_jtb
Mon May 06 12:39:56 +0000 2024,1,https://t.co/dUNJKpNb5d,its_jtb
Mon May 06 10:53:12 +0000 2024,1,I'm kinda cooked for advanced english,its_jtb
Mon May 06 09:17:50 +0000 2024,3,Drake went hard on this new track ğŸ”¥ğŸ”¥ğŸ”¥ https://t.co/jgrgbKDXju,its_jtb
Sun May 05 23:58:19 +0000 2024,1,"All things considered, Spurs losing 4 on the spin then beating City to hand their rivals the title would be the most spursy thing possible",its_jtb
Sun May 05 21:41:45 +0000 2024,2,Go on lando son,its_jtb
Sun May 05 20:20:48 +0000 2024,6,This is what every non old firm side think it's like when leading https://t.co/XIMhNrVk10,its_jtb
Sun May 05 19:51:07 +0000 2024,1,1 of 15 is fucking diabolical,its_jtb
Sun May 05 19:03:36 +0000 2024,2,I apologise mr Donovan Mitchell,its_jtb
Sun May 05 17:33:56 +0000 2024,1,Cavs once again said https://t.co/5AcFEUHIYB,its_jtb
Sun May 05 14:57:58 +0000 2024,2,I'm convinced this man was made in the lab fir twitter interactions,its_jtb
Sun May 05 14:26:16 +0000 2024,1,"This sounds like a weird analogy but does Chelsea not remind anyone of the Dallas Mavericks a little bit. Over reliant on one star they gambled and hit on (Luka, Plamer) and then gambled on a bunch of players (KP,Grant, Literally every chelsea signing) #CHEWHU",its_jtb
Sun May 05 14:17:51 +0000 2024,1,why the fuck is this tweet getting botted by women names Autumn and @asuthe4 https://t.co/5gHxBY2GXp,its_jtb
Sun May 05 14:04:03 +0000 2024,0,"If he has more goal involvements next year for Chelsea, that's a big problem for the blues. They over rely on him too much, everything goes through him. It's why the saka comparisons are stupid as there Is 4-6 attacking threats for arsenal, so saka isn't needed for every attack",its_jtb
Sun May 05 14:01:15 +0000 2024,1,Any team outside the Old firm should be scrambling for him,its_jtb
Sun May 05 13:34:18 +0000 2024,0,RT @BilelMohsni_: https://t.co/wCkdA1PS3z,its_jtb
Sun May 05 12:37:48 +0000 2024,0,Was it actually a red? im not watching the game,its_jtb
Sun May 05 00:22:40 +0000 2024,2,"He's dropped more songs in the last 3 days than an entire 5 year period. Thanks drake, your sacrifice was necessary for kendrick lamars consistency",its_jtb
Sun May 05 00:01:31 +0000 2024,0,Omg Kendrick just doesn't stop. DRAKES ALREADY DEAD K-DOT,its_jtb
Sat May 04 21:00:36 +0000 2024,4,Simon Cowell after Britain's Got Talent 2009,its_jtb
Sat May 04 18:59:21 +0000 2024,0,We are back ladies and gentlemen,its_jtb
Sat May 04 18:53:29 +0000 2024,0,Back to business at Marine - Journeyman season 3  https://t.co/HRxT02IHwp,its_jtb
Sat May 04 18:36:08 +0000 2024,1,It's realistically a toss up of four https://t.co/qem5Ryd23s,its_jtb
Sat May 04 18:32:30 +0000 2024,0,Average twitter ball knowledge,its_jtb
Sat May 04 17:47:51 +0000 2024,1,I tc saka over haaland fs,its_jtb
Tue May 07 16:49:07 +0000 2024,0,RT @PoweredbyidTech: id Software is one shareholder's report away from being shut down. Think about that.,ShenMofongo
Tue May 07 16:45:54 +0000 2024,0,"RT @davidscottjaffe: The 3 Great Mysteries: 

#1- Is there a God?
#2-What is the meaning of life? 
#3-How in the CACA-DOODY-FUCK-STICK doesâ€¦",ShenMofongo
Tue May 07 16:31:32 +0000 2024,0,"RT @johnjohanas: So this is how it endsâ€¦

Unfortunately I donâ€™t quite have the wordsâ€¦

But at least thank you to everyone who supported us.",ShenMofongo
Tue May 07 15:53:28 +0000 2024,0,"RT @SynthPotato: Man these studio shut downs are messed up, genuinely afraid for the future of all the other Xbox studios that aren't puttiâ€¦",ShenMofongo
Tue May 07 15:06:23 +0000 2024,0,What happened you damn corpo?,ShenMofongo
Tue May 07 15:03:55 +0000 2024,0,"RT @NASAEarth: Jaguars and tigers and elephants, oh my! ğŸ…ğŸ˜

@nasa satellites are helping protect tigers, jaguars, elephants, and other specâ€¦",ShenMofongo
Tue May 07 14:54:47 +0000 2024,0,"RT @DBakaba: This is absolutely terrible. Permission to be human : to any executive reading this, friendly reminder that video games are anâ€¦",ShenMofongo
Tue May 07 14:39:42 +0000 2024,0,RT @BoyanSlat: Decent start of the year @TheOceanCleanup! https://t.co/DV59q9A2rp,ShenMofongo
Tue May 07 14:39:29 +0000 2024,0,"RT @wideofthepost: â€œAll schools in Gaza have been closed for 625,000 students for 6 monthsâ€¦ 261 teachers have been killed in the Gaza Stripâ€¦",ShenMofongo
Tue May 07 14:05:07 +0000 2024,0,RT @MuhammadSmiry: RAFAH TODAY! https://t.co/EItzha6dza,ShenMofongo
Tue May 07 13:49:20 +0000 2024,0,There was much potential in Tango Gameworks for future gens. They were coming up with some of the best games in your stable and the reason why they didn't pop is because the Xbox brand is tainted. Y'all really didn't think this through and I'm seriously disappointed. @XboxP3,ShenMofongo
Tue May 07 13:42:09 +0000 2024,1,This is such bullshit,ShenMofongo
Tue May 07 13:29:34 +0000 2024,0,RT @DrEricDing: 9) So in order for #H5N1 avian influenza to fully become a human to human efficient adapted virusâ€¦ there are still many addâ€¦,ShenMofongo
Tue May 07 04:35:12 +0000 2024,0,RT @macklemore: HINDâ€™S HALL. Once itâ€™s up on streaming all proceeds to UNRWA. https://t.co/QqZEKmzwZI,ShenMofongo
Tue May 07 04:34:59 +0000 2024,0,RT @tmorello: Honestly @macklemoreâ€™s â€œHindâ€™s Hallâ€ is the most Rage Against The Machine song since Rage Against The Machine.,ShenMofongo
Tue May 07 04:18:35 +0000 2024,0,RT @AJEnglish: World reacts to Israelâ€™s Rafah evacuation order https://t.co/lqsn4S2Y19,ShenMofongo
Tue May 07 03:09:49 +0000 2024,0,RT @MetroBoomin: Wolves defense ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”’,ShenMofongo
Tue May 07 02:24:27 +0000 2024,0,"RT @GamerPC89: ""Dear our masters, we thought we can treat you as how we treat ponies, but you are different. So please accept our apologiseâ€¦",ShenMofongo
Tue May 07 02:16:53 +0000 2024,0,"RT @ninaturner: The suppression of speech will continue to backfire because the policies being protested are unpopular.

A poll showed 50%â€¦",ShenMofongo
Tue May 07 01:39:27 +0000 2024,0,"RT @HoyPalestina: AHORA: Cientos de israelÃ­es salen a las calles y marchan hacia la sede de Netanyahu en la JerusalÃ©n ocupada, exigiÃ©ndoleâ€¦",ShenMofongo
Tue May 07 00:53:41 +0000 2024,0,"RT @_CharlesPreston: Drake got called white, a pedophile, and then Elon Musk followed him. I'm just naming the order of events.",ShenMofongo
Tue May 07 00:53:26 +0000 2024,0,RT @EmmaTolkin: Lord Yoshii Toranaga has arrived at the #MetGala https://t.co/uyRuEDMd2j,ShenMofongo
Tue May 07 00:53:07 +0000 2024,0,RT @NinjaTheory: Hands up if you've been replaying Hellblade: Senua's Sacrifice in preparation for May 21st? âœ‹ https://t.co/obqYRjIJgn,ShenMofongo
Tue May 07 00:26:34 +0000 2024,0,RT @snackvampire: our ruling class will be remembered by history for sparing no decadence for themselves as their government commits a horrâ€¦,ShenMofongo
Tue May 07 00:21:14 +0000 2024,0,RT @MerruX: Half the crowd joins up with the march again. over 3000 people here now.  the crowd has taken over more than 4 blocks.  They arâ€¦,ShenMofongo
Tue May 07 00:20:56 +0000 2024,0,"RT @InsiderWorld_1: Donâ€™t let #MetGala be a distraction to invade Rafah. 

ALL EYES ON RAFAH!! https://t.co/khHJ19ptXe",ShenMofongo
Mon May 06 23:13:26 +0000 2024,0,"RT @Wario64: Divinity: Original Sin 2 - Definitive Edition is $13.49 on Steam https://t.co/hmjMKFTcgV

Deck verified https://t.co/kZ2oODQVTd",ShenMofongo
Mon May 06 22:37:23 +0000 2024,0,RT @DrEricDing: Very worriedâ€”â€œThe virus may soon develop the ability to transmit from one human to anotherâ€¦ This is of great concern. Earliâ€¦,ShenMofongo
Mon May 06 22:26:47 +0000 2024,0,"RT @afrocosmist: david mattingly cover art for ""harpy high"" by esther friesner, 1991 https://t.co/gsfT2LUBrG",ShenMofongo
Mon May 06 21:58:26 +0000 2024,0,"RT @numetal_moment: ""toxic"" by crazy town (1999) https://t.co/JmxxAYNjE2",ShenMofongo
Mon May 06 20:33:59 +0000 2024,0,RT @QudsNen: BREAKING| Students of 11 High schools across Boston join the MIT student encampment in response to the increasing police repreâ€¦,ShenMofongo
Mon May 06 20:32:31 +0000 2024,0,"RT @ECOWARRIORSS: Baltic herring on the verge of extinction 
Even if climate change did not exist 
Humans are virtually consuming the planeâ€¦",ShenMofongo
Mon May 06 20:25:25 +0000 2024,0,"RT @SupergiantGames: ğŸŒ’HADES II is HERE !!ğŸŒ˜

Experience the bewitching sequel to our god-like rogue-like, now available in Early Access.

ğŸŒœSâ€¦",ShenMofongo
Mon May 06 19:55:18 +0000 2024,0,"RT @WinC_Gaming: Hades 2 early access is now available on Steam and the Epic Games Store. 

DETAILS: https://t.co/MJVnX7Y3Pf

#Hades2 #PCgaâ€¦",ShenMofongo
Mon May 06 16:09:52 +0000 2024,0,RT @NASAUniverse: Teetering on the edge of the event horizon is enough to cause a bit of vertigo. One false step and you could become a blaâ€¦,ShenMofongo
Mon May 06 15:11:01 +0000 2024,0,RT @PGDynes: I've never seen so much white covering the Map of #India and SE #Asia. The white colour indicates temperatures of 45C plus. Thâ€¦,ShenMofongo
Mon May 06 15:08:27 +0000 2024,0,"RT @ScienceAdvances: Stony coral tissue loss disease has severely impacted Caribbean coral reefs. 
 
A new study assesses coral reef communâ€¦",ShenMofongo
Mon May 06 14:34:27 +0000 2024,0,"RT @AJEnglish: In the past week, massive floods in Brazilâ€™s southern Rio Grande do Sul state have killed at least 75 people, with 103 reporâ€¦",ShenMofongo
Mon May 06 14:20:40 +0000 2024,0,RT @Helldiversmedia: I swear I never see a community that is able to flip a game review score from positive to negative to positive in justâ€¦,ShenMofongo
Mon May 06 13:37:10 +0000 2024,0,"RT @Resist_05: The IDF just dropped leaflets over Rafah which holds nearly one million displaced childrenâ€¦ 

We all know this will be an abâ€¦",ShenMofongo
Sun Mar 17 15:48:04 +0000 2024,0,RT @TexanGhost: Please retweet the hell out of this - letâ€™s do this!! ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ğŸ‡¬ğŸ‡§ https://t.co/BOxtayqE4b,JenniferSalt4
Thu Mar 14 20:51:16 +0000 2024,0,RT @ClaireH38655873: What is the point of this man?,JenniferSalt4
Tue Mar 05 21:57:40 +0000 2024,0,RT @TryingTraveller: https://t.co/Kglj3voNHq,JenniferSalt4
Sun Feb 25 16:28:30 +0000 2024,0,"RT @benonwine: Sadiq Khan and Mark Rowley should resign.
They've lost control of London.

Retweet if you Agree https://t.co/LBVX2Kxj9K",JenniferSalt4
Wed Feb 14 22:51:41 +0000 2024,0,RT @WendtheWalker: Absolutely! For lots of reasons! https://t.co/ovrZysmyCk,JenniferSalt4
Wed Feb 14 03:13:26 +0000 2024,0,RT @KissKissBBang: Someone please tell me why this man is on the television or why heâ€™s still relevant after the irreparable shit heâ€™s causâ€¦,JenniferSalt4
Sun Feb 04 13:38:47 +0000 2024,0,RT @benonwine: Give me a Thumbs Up ğŸ‘ and Retweet If you think Tony Blair should have is Knighthood removed. https://t.co/6wjY1aWS3G,JenniferSalt4
Sun Jan 28 22:25:09 +0000 2024,0,"RT @benonwine: Would Penny Mordaunt make a Good PM and save the Conservative Party?

Yes or No",JenniferSalt4
Fri Jan 12 03:21:02 +0000 2024,0,"RT @rec777777: So @Keir_Starmer ignored the #PostOfficeScandal , grooming gangs and let off Savile, but supported BLM

Got it

#NeverLabourâ€¦",JenniferSalt4
Tue Jan 09 21:22:36 +0000 2024,0,"RT @TheFox89688362: Worst Mayor ever?

https://t.co/rTJOWhXLiY",JenniferSalt4
Sat Jan 06 17:55:25 +0000 2024,0,RT @UKAndNIasOne: https://t.co/ctlEODFC25,JenniferSalt4
Thu Dec 14 19:48:52 +0000 2023,0,RT @Jenny_1884: I was born &amp; brought up in the UK as was all my family. So why are we being expected to change our lives to fit in with othâ€¦,JenniferSalt4
Sun Dec 10 23:11:27 +0000 2023,0,RT @benonwine: Retweet if You Agree this Charlatan should Resign ğŸ‘‡ https://t.co/VcSLpM99M5,JenniferSalt4
Sun Dec 10 18:28:01 +0000 2023,0,RT @theblade113: CLIMATE CHANGE MY ARSE ! This is Ed Milliband the shadow secretary of state for hypocrisy and climate change leaving an Emâ€¦,JenniferSalt4
Fri Dec 01 21:56:13 +0000 2023,0,"RT @IngrameThomas: Share this everywhere , the world needs to see this ğŸ‘‡",JenniferSalt4
Fri Dec 01 20:16:17 +0000 2023,0,RT @benonwine: Repost if you Agree? https://t.co/SekecVDKBR,JenniferSalt4
Wed Nov 29 17:25:32 +0000 2023,0,"RT @CherryPie_Llama: How worried are you about the UK?
Are you troubled about what our country will have to offer in the future for our chiâ€¦",JenniferSalt4
Wed Nov 29 17:14:20 +0000 2023,0,RT @FlowersEnglish: BUT WILL THEY DO IT?,JenniferSalt4
Sat Nov 18 23:18:03 +0000 2023,0,RT @Mexico1978R: https://t.co/5fIdufP3F0,JenniferSalt4
Mon Nov 13 13:41:14 +0000 2023,0,RT @benonwine: Who AGREES Suella Braverman was the Best Home Secretary we have had in years. ğŸ™‹â€â™‚ï¸ ğŸ‡¬ğŸ‡§â¤ï¸ğŸ‘Œ https://t.co/SVoRbNnPWX,JenniferSalt4
Sat Oct 14 17:32:05 +0000 2023,0,RT @Mexico1978R: https://t.co/3phLPHTgm0,JenniferSalt4
Sat Oct 14 16:27:10 +0000 2023,0,RT @benonwine: If you LOVE this Flag  ğŸ´ó §ó ¢ó ¥ó ®ó §ó ¿ please Retweet and give a thumbs up. ğŸ‘â¤ï¸ https://t.co/WZujH7ZaM5,JenniferSalt4
Sat Oct 14 08:18:00 +0000 2023,0,"RT @ArchRose90: A now deleted tweet from Deji Davies who is the Chair of the FAâ€™s â€œInclusionâ€(lol) Advisory Board. 

He would have been invâ€¦",JenniferSalt4
Mon Oct 09 08:19:56 +0000 2023,0,RT @andie1105: Someone has analysed this and said itâ€™s not AI and itâ€™s definitely his voice. You can hear lots of people in the backgroundâ€¦,JenniferSalt4
Sun Oct 01 00:00:32 +0000 2023,0,RT @benonwine: Repost if you think this man should Resign? https://t.co/LhIDNQhwRO,JenniferSalt4
Sun Oct 01 00:00:13 +0000 2023,0,RT @Mexico1978R: https://t.co/OmCQ841q74,JenniferSalt4
Sat Aug 26 07:19:24 +0000 2023,0,"RT @NHSMillion: The lack of available NHS dentists in this country should be a national scandal.

Please RT if you agree.",JenniferSalt4
Wed Aug 23 16:23:17 +0000 2023,0,"Could some MP of any party please answer my question - is Khan the Mayor of London - the most untouchable, influential man in England.  Can he do anything he wants and no one, not even our PM can stop him ??  Should any one person have this authority??",JenniferSalt4
Thu Jul 27 18:41:48 +0000 2023,0,RT @TiceRichard: Wonder why this is not in mainstream media?,JenniferSalt4
Mon Jul 24 14:32:19 +0000 2023,0,Migrants should be put on a remote Scottish Island whilst the government decide what to do with them  - house them away from residents until it is decided what or where to put or do with them - it is not our fault what's happening - it is the government's,JenniferSalt4
Sat Jul 15 19:41:35 +0000 2023,0,RT @sophielouisecc: https://t.co/NiZOOwN7wL,JenniferSalt4
Tue May 23 11:39:02 +0000 2023,0,Angela Raynor and the Labour Party are making this country a bloody  laughing stock - for God and sanities sake - drop it - The Home Secretary  did nothing wrong,JenniferSalt4
Fri May 19 19:08:18 +0000 2023,0,Watching Question of Sport - what a bloody turn off - Paddy McGuinness  - what a scruffy looking individual he is  - terrible,JenniferSalt4
Mon May 08 13:24:27 +0000 2023,0,RT @Mexico1978R: https://t.co/vahBjU9rHr,JenniferSalt4
Sat May 06 19:12:52 +0000 2023,0,RT @Mexico1978R: https://t.co/bOkVWy2eOZ,JenniferSalt4
Sat May 06 16:32:59 +0000 2023,0,RT @liam345: RT if you would like to see @Nigel_Farage back in politics https://t.co/SRaCs7k2G2,JenniferSalt4
Sat May 06 11:25:31 +0000 2023,1,Penny Mordant is a wonderful ambassador,JenniferSalt4
Sun Apr 30 19:33:51 +0000 2023,0,"RT @TheWakeninq: Watch the uk police escort Antifa/LGBTQ to peaceful WOMEN attending #LetWomenSpeak in Hyde Park,  Speakers Corner. Read thâ€¦",JenniferSalt4
Sat Apr 29 21:52:30 +0000 2023,0,"RT @EssexPR: Sadiq Khan risks two parking tickets as his two 5.0 litre Range Rovers stay on yellow linesâ€¦

The same man that goes in aboutâ€¦",JenniferSalt4
Sat Apr 29 19:36:24 +0000 2023,0,"RT @SteveSheasby: Well well well, GRAY the Investigator being investigated for NOT following the rules, oh what a tangled web you weave -â€¦",JenniferSalt4
Tue May 07 17:21:03 +0000 2024,1,TIL that humans will outlive the sun and circumvent the heat death of the universe,CRBernard
Tue May 07 16:26:15 +0000 2024,3,"much like SpaceX's rockets, HUMVs are ""sustainable""",CRBernard
Tue May 07 15:47:38 +0000 2024,12,the Elon Fan Club wants me to argue about SpaceX saving humanity,CRBernard
Tue May 07 15:11:07 +0000 2024,11,I have literally never heard someone say that we have infinite resources because meteorites,CRBernard
Tue May 07 05:19:18 +0000 2024,0,RT @ThisIsJus: Partyarchs on twitter will be like â€œHa! You believe in anarchism? That pales in comparison to my strategy: persuading Donaldâ€¦,CRBernard
Tue May 07 03:18:09 +0000 2024,31,enjoy with my compliments,CRBernard
Mon May 06 23:11:16 +0000 2024,0,"RT @IdiotRose19562: Chat, are women bourgeois?",CRBernard
Mon May 06 22:50:51 +0000 2024,0,RT @HarpsLmao: Oh hell no https://t.co/4bakx1cKLT,CRBernard
Mon May 06 22:12:50 +0000 2024,27,"it's time once again for my recurring feature ""Which Is Shittier: AI Art Propaganda by Fascists or AI Art Propaganda by Communists"" - MORMON EDITION!",CRBernard
Mon May 06 22:01:11 +0000 2024,25,maybe don't tweet your generic viagra subscription cancellation,CRBernard
Mon May 06 21:00:25 +0000 2024,0,RT @CrustPunk161: She was right. I've been stuck to the refrigerator since i got my second booster,CRBernard
Mon May 06 17:51:13 +0000 2024,0,RT @lolnochillwavve: Everyone's focused on Kendrick x Drake yall are missing the greatest fued of all time,CRBernard
Mon May 06 16:35:57 +0000 2024,0,"RT @LeftOnRed161: ""We're not ETHNOnationalists, we're just nationalists who prefer people look and act like us. 

Anyway, here's a nazi refâ€¦",CRBernard
Mon May 06 16:18:17 +0000 2024,0,RT @thedarkprowler: awesome text to get from a coworker i met last wednesday https://t.co/TjgrpoTjYi,CRBernard
Mon May 06 15:32:14 +0000 2024,0,"""One of the more intriguing questions in the FAQ section of the Trump bible website asks: 'What if my Bible has sticky pages?'"" https://t.co/o9vbvNGSfa",CRBernard
Mon May 06 15:21:41 +0000 2024,0,"RT @aureliawelde: â€œHave you actually read the commandments? It doesnâ€™t make women property!â€

Girl, have you read the commandments? https:/â€¦",CRBernard
